forest_type,mean_biomass,median_biomass,mean_severity,median_severity,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
2,29.36470588235294,8,-2938.0597110523895,-2729.2939453125,3,45,1461.5915966386556,1.3676868661545527,0.515230113221354,2.1272614363540225e-22,85,25
3,9.1,7,-3989.6143473307293,-4000.1392822265625,3,13.5,58.02413793103448,0.7655268134229544,-0.7754296736900246,0.0010545646897915984,30,25
3,27.74561403508772,17,-3346.2545915570176,-3149.4471435546875,5,46.75,769.3417947523676,1.3273205346764942,2.1651748068020056,7.317119502774632e-12,114,26
2,36.96524257784214,33,-2898.686476147408,-2620.750244140625,8,60,915.7654577128525,0.5751450696869992,-0.5650605609358214,3.7e-24,1381,26
1,36.40816326530612,27.5,-3020.0233540437657,-3008.5833740234375,9.25,58.75,977.8110666947191,0.9287603940537649,0.35478075246508656,4.033713214428623e-6,98,26
2,29.675324675324674,15,-3612.1732729428772,-3477.510498046875,3,52,997.9021239177489,1.0944500588294401,0.5296325489638292,3.7e-24,385,27
1,53.09493670886076,52,-3236.3529450621786,-3031.9217529296875,31.75,72,989.6798472975688,0.4598781412312995,0.05177264424132303,0.0015578896135779552,316,27
3,50.87903225806452,54,-3246.5287281979795,-3112.26708984375,24.75,72,1056.3276454221373,0.3314979421642895,-0.23118049311409947,8.073160238459211e-7,372,27
3,76.4,85,-3312.8348795572915,-3264.099609375,59.5,100,939.4,-1.0177094522586638,0.19524301569645203,0.09266282472620155,15,28
1,81.87096774193549,89,-4062.835421654486,-3928.0574951171875,78.25,96.75,517.3929138022211,-1.3856458258468771,1.1032642468790348,1.7097646763393633e-9,62,28
2,67,70,-4684.76943359375,-4875.99658203125,53,79,240.5,-0.21315450094562707,-2.646245477846309,NA,5,28
1,56.74728260869565,63.5,-2567.7229879628057,-2493.274169921875,28,80,772.8978127591517,-0.12377024393688338,-1.2074276618252677,2.830955588346961e-19,368,29
3,50.56923076923077,45,-3120.9801194411057,-2755.918701171875,34,71,515.0302884615385,0.42081557987177026,-0.7860187894079215,0.008823923608541286,65,29
2,45.416666666666664,45,-3475.1108194986978,-3103.518798828125,32,54.5,353.3560606060606,0.3954402619054583,-0.2250500913335821,0.8070233072728924,12,29
3,35.975903614457835,38,-3383.749352880271,-3365.015380859375,19,51,345.2189244784014,0.0568769467067284,-1.0755194280420626,0.017241351887640373,83,30
1,34.296992481203006,35,-2760.024157760735,-2691.59521484375,17,46,470.61712299616966,0.4798657521737292,0.06749609587361499,1.8077534394747668e-5,266,30
2,30.454545454545453,25,-3490.7482410777698,-3612.654296875,13,45.75,420.35497835497836,0.6418226732987958,-0.9013897244664837,0.01270564714858857,22,30
